K,lambda_cost,lambda_safety,noise_sigma,seed,pool_size,p,shots,gamma,beta,qubo_energy_best,selected_n,nct_id
6,2.0,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06711887
6,2.0,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06706817
6,2.0,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT05674305
6,2.0,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06703476
6,2.0,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06701331
6,2.0,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT05677451
6,2.0,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06698796
6,2.0,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06698042
6,2.0,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT05689879
6,2.0,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06760637
6,2.0,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06711887
6,2.0,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06706817
6,2.0,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT05674305
6,2.0,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06703476
6,2.0,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06701331
6,2.0,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT05677451
6,2.0,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06698796
6,2.0,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06698042
6,2.0,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT05689879
9,0.5,0.5,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06760637
9,0.5,0.5,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06711887
9,0.5,0.5,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06706817
9,0.5,0.5,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT05674305
9,0.5,0.5,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06703476
9,0.5,0.5,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06701331
9,0.5,0.5,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT05677451
9,0.5,0.5,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06698796
9,0.5,0.5,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06698042
9,0.5,0.5,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT05689879
9,0.5,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06760637
9,0.5,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06711887
9,0.5,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06706817
9,0.5,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT05674305
9,0.5,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06703476
9,0.5,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06701331
9,0.5,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT05677451
9,0.5,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06698796
9,0.5,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06698042
9,0.5,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT05689879
9,0.5,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06760637
9,0.5,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06711887
9,0.5,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06706817
9,0.5,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT05674305
9,0.5,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06703476
9,0.5,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06701331
9,0.5,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT05677451
9,0.5,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06698796
9,0.5,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06698042
9,0.5,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT05689879
9,1.0,0.5,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06760637
9,1.0,0.5,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06711887
9,1.0,0.5,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06706817
9,1.0,0.5,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT05674305
9,1.0,0.5,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06703476
9,1.0,0.5,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06701331
9,1.0,0.5,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT05677451
9,1.0,0.5,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06698796
9,1.0,0.5,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06698042
9,1.0,0.5,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT05689879
9,1.0,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06760637
9,1.0,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06711887
9,1.0,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06706817
9,1.0,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT05674305
9,1.0,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06703476
9,1.0,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06701331
9,1.0,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT05677451
9,1.0,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06698796
9,1.0,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06698042
9,1.0,1.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT05689879
9,1.0,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06760637
9,1.0,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06711887
9,1.0,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06706817
9,1.0,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT05674305
9,1.0,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06703476
9,1.0,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06701331
9,1.0,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT05677451
9,1.0,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06698796
9,1.0,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT06698042
9,1.0,2.0,0.0,0,12,1,256,0.2,0.2,-990.0,10,NCT05689879
