nct_id,brief_title,overall_status,phase,conditions,interventions,location_countries,lead_sponsor,lead_sponsor_norm,region_label,_cost_raw,enrollment_feasibility_score,_benefit_raw,_safety_raw,_benefit,_cost,_safety,config_id,K,lambda_cost,lambda_safety,noise_sigma,seed,pool_size,p,penalty_A,shots
NCT00003042,Chemotherapy and Stem Cell Transplantation in Treating Patients With Stage IIIB Breast Cancer,"Active, not recruiting",Phase 2,['Breast Cancer'],"['filgrastim' 'cisplatin' 'cyclophosphamide' 'doxorubicin hydrochloride'
 'melphalan' 'mesna' 'paclitaxel' 'tamoxifen citrate'
 'bone marrow ablation with stem cell support' 'conventional surgery'
 'peripheral blood stem cell transplantation']",['United States'],City of Hope Medical Center,City of Hope Medical Center,Global / Multi-Region,2.0,1.0,0.6,0.0,0.6075914369128518,1.5850946206146035,0.0,K6_lc0.5_ls0.5_sig0.1_seed0_pool12_p1_A10_sh128,6,0.5,0.5,0.1,0,12,1,10.0,128
NCT00018057,Study of Neuro-Cognitive Correlates of Pediatric Anxiety Disorders,Recruiting,Phase 2,['Anxiety Disorders' 'Major Depressive Disorder'],['Attention Bias Modification Training' 'Fluoxetine'],['United States'],National Institute of Mental Health (NIMH),National Institute of Mental Health (NIMH),Global / Multi-Region,2.0,1.0,0.6,0.0,0.6396824748937253,1.7657156680226318,0.0,K6_lc0.5_ls0.5_sig0.1_seed0_pool12_p1_A10_sh128,6,0.5,0.5,0.1,0,12,1,10.0,128
NCT00044304,Tyrosine Kinase Inhibition to Treat Myeloid Hypereosinophilic Syndrome,Recruiting,Phase 2,['Eosinophilic Myeloid Neoplasm' 'Hypereosinophilic Syndrome'],['Imatinib' 'Ruxolitinib'],['United States'],National Institute of Allergy and Infectious Diseases (NIAID),National Institute of Allergy and Infectious Diseases (NIAID),Global / Multi-Region,2.0,1.0,0.6,0.0,0.6063271348687284,1.85878016087494,0.0,K6_lc0.5_ls0.5_sig0.1_seed0_pool12_p1_A10_sh128,6,0.5,0.5,0.1,0,12,1,10.0,128
NCT00076310,OSI-774/Cisplatin/Taxotere in Head & Neck Squamous Cell Cancer,"Active, not recruiting",Phase 2,['Head and Neck Cancer'],['Docetaxel' 'OSI-774' 'Cisplatin'],['United States'],M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,Global / Multi-Region,2.0,1.0,0.6,0.0,0.6220927271871983,1.9377299613339192,0.0,K6_lc0.5_ls0.5_sig0.1_seed0_pool12_p1_A10_sh128,6,0.5,0.5,0.1,0,12,1,10.0,128
NCT00077285,Irinotecan and Carboplatin as Upfront Window Therapy in Treating Patients With Newly Diagnosed Intermediate-Risk or High-Risk Rhabdomyosarcoma,"Active, not recruiting",Phase 2,['Sarcoma'],"['filgrastim' 'carboplatin' 'cyclophosphamide' 'dexrazoxane hydrochloride'
 'doxorubicin hydrochloride' 'etoposide' 'ifosfamide'
 'irinotecan hydrochloride' 'vincristine sulfate' 'conventional surgery'
 'radiation therapy']",['United States'],Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,Global / Multi-Region,2.0,1.0,0.6,0.0,0.6835704065627852,2.0840439943425655,0.0,K6_lc0.5_ls0.5_sig0.1_seed0_pool12_p1_A10_sh128,6,0.5,0.5,0.1,0,12,1,10.0,128
NCT00092222,Virotherapy and Natural History Study of KHSV-Associated Multricentric Castleman s Disease With Correlates of Disease Activity,"Active, not recruiting",Phase 2,['Lymphoproliferative Disorder' 'HHV-8' 'Malignancy' 'HIV'],"['Etoposide' 'Interferon-alpha' 'Rituximab' 'Zidovudine'
 'Liposomal Doxorubicin' 'Bortezomib' 'Valganciclovir' 'Doxorubicin'
 'Vincristine' 'Cyclophosphamide' 'Filgrastim (G-CSF)' 'Prednisone'
 'Sirolimus' 'Observation Only']",['United States'],National Cancer Institute (NCI),National Cancer Institute (NCI),Global / Multi-Region,2.0,1.0,0.6,0.0,0.5637451056257847,1.8712894023148297,0.0,K6_lc0.5_ls0.5_sig0.1_seed0_pool12_p1_A10_sh128,6,0.5,0.5,0.1,0,12,1,10.0,128
NCT00003042,Chemotherapy and Stem Cell Transplantation in Treating Patients With Stage IIIB Breast Cancer,"Active, not recruiting",Phase 2,['Breast Cancer'],"['filgrastim' 'cisplatin' 'cyclophosphamide' 'doxorubicin hydrochloride'
 'melphalan' 'mesna' 'paclitaxel' 'tamoxifen citrate'
 'bone marrow ablation with stem cell support' 'conventional surgery'
 'peripheral blood stem cell transplantation']",['United States'],City of Hope Medical Center,City of Hope Medical Center,Global / Multi-Region,2.0,1.0,0.6,0.0,0.6075914369128518,1.5850946206146035,0.0,K6_lc0.5_ls1_sig0.1_seed0_pool12_p1_A10_sh128,6,0.5,1.0,0.1,0,12,1,10.0,128
NCT00018057,Study of Neuro-Cognitive Correlates of Pediatric Anxiety Disorders,Recruiting,Phase 2,['Anxiety Disorders' 'Major Depressive Disorder'],['Attention Bias Modification Training' 'Fluoxetine'],['United States'],National Institute of Mental Health (NIMH),National Institute of Mental Health (NIMH),Global / Multi-Region,2.0,1.0,0.6,0.0,0.6396824748937253,1.7657156680226318,0.0,K6_lc0.5_ls1_sig0.1_seed0_pool12_p1_A10_sh128,6,0.5,1.0,0.1,0,12,1,10.0,128
NCT00044304,Tyrosine Kinase Inhibition to Treat Myeloid Hypereosinophilic Syndrome,Recruiting,Phase 2,['Eosinophilic Myeloid Neoplasm' 'Hypereosinophilic Syndrome'],['Imatinib' 'Ruxolitinib'],['United States'],National Institute of Allergy and Infectious Diseases (NIAID),National Institute of Allergy and Infectious Diseases (NIAID),Global / Multi-Region,2.0,1.0,0.6,0.0,0.6063271348687284,1.85878016087494,0.0,K6_lc0.5_ls1_sig0.1_seed0_pool12_p1_A10_sh128,6,0.5,1.0,0.1,0,12,1,10.0,128
NCT00076310,OSI-774/Cisplatin/Taxotere in Head & Neck Squamous Cell Cancer,"Active, not recruiting",Phase 2,['Head and Neck Cancer'],['Docetaxel' 'OSI-774' 'Cisplatin'],['United States'],M.D. Anderson Cancer Center,M.D. Anderson Cancer Center,Global / Multi-Region,2.0,1.0,0.6,0.0,0.6220927271871983,1.9377299613339192,0.0,K6_lc0.5_ls1_sig0.1_seed0_pool12_p1_A10_sh128,6,0.5,1.0,0.1,0,12,1,10.0,128
NCT00077285,Irinotecan and Carboplatin as Upfront Window Therapy in Treating Patients With Newly Diagnosed Intermediate-Risk or High-Risk Rhabdomyosarcoma,"Active, not recruiting",Phase 2,['Sarcoma'],"['filgrastim' 'carboplatin' 'cyclophosphamide' 'dexrazoxane hydrochloride'
 'doxorubicin hydrochloride' 'etoposide' 'ifosfamide'
 'irinotecan hydrochloride' 'vincristine sulfate' 'conventional surgery'
 'radiation therapy']",['United States'],Memorial Sloan Kettering Cancer Center,Memorial Sloan Kettering Cancer Center,Global / Multi-Region,2.0,1.0,0.6,0.0,0.6835704065627852,2.0840439943425655,0.0,K6_lc0.5_ls1_sig0.1_seed0_pool12_p1_A10_sh128,6,0.5,1.0,0.1,0,12,1,10.0,128
NCT00092222,Virotherapy and Natural History Study of KHSV-Associated Multricentric Castleman s Disease With Correlates of Disease Activity,"Active, not recruiting",Phase 2,['Lymphoproliferative Disorder' 'HHV-8' 'Malignancy' 'HIV'],"['Etoposide' 'Interferon-alpha' 'Rituximab' 'Zidovudine'
 'Liposomal Doxorubicin' 'Bortezomib' 'Valganciclovir' 'Doxorubicin'
 'Vincristine' 'Cyclophosphamide' 'Filgrastim (G-CSF)' 'Prednisone'
 'Sirolimus' 'Observation Only']",['United States'],National Cancer Institute (NCI),National Cancer Institute (NCI),Global / Multi-Region,2.0,1.0,0.6,0.0,0.5637451056257847,1.8712894023148297,0.0,K6_lc0.5_ls1_sig0.1_seed0_pool12_p1_A10_sh128,6,0.5,1.0,0.1,0,12,1,10.0,128
